record_type,backend_name,operation,qubits,t1_seconds,t2_seconds,frequency_hz,instruction_error,instruction_duration_seconds
qubit,fake_nairobi,qubit,0,8.91193200521535e-05,1.5788112289256515e-05,5259456041.457937,0.05800000000000005,5.560888888888889e-06
qubit,fake_nairobi,qubit,1,8.726538034205314e-05,0.00012639674787282682,5167930370.694887,0.01990000000000003,5.560888888888889e-06
qubit,fake_nairobi,qubit,2,0.00013323915779104922,0.00012713613969430866,5274522021.242134,0.019299999999999984,5.560888888888889e-06
qubit,fake_nairobi,qubit,3,7.494187944204908e-05,7.599846916038536e-05,5024513515.488152,0.022299999999999986,5.560888888888889e-06
qubit,fake_nairobi,qubit,4,0.00013122119282632082,0.00010613173001967968,5178162791.748276,0.018299999999999983,5.560888888888889e-06
qubit,fake_nairobi,qubit,5,8.065418374424905e-05,1.2042600525667421e-05,5292671383.318639,0.022499999999999964,5.560888888888889e-06
qubit,fake_nairobi,qubit,6,7.663770042270324e-05,0.00012620772862063315,5128536512.899253,0.025800000000000045,5.560888888888889e-06
instruction,fake_nairobi,cx,0-1,,,,0.008594115909420164,2.488888888888889e-07
instruction,fake_nairobi,cx,1-0,,,,0.008594115909420164,2.8444444444444443e-07
instruction,fake_nairobi,cx,1-2,,,,0.006982735263829087,4.266666666666666e-07
instruction,fake_nairobi,cx,1-3,,,,0.006790988836364892,2.702222222222222e-07
instruction,fake_nairobi,cx,2-1,,,,0.006982735263829087,3.911111111111111e-07
instruction,fake_nairobi,cx,3-1,,,,0.006790988836364892,3.0577777777777775e-07
instruction,fake_nairobi,cx,3-5,,,,0.012572268228634498,6.4e-07
instruction,fake_nairobi,cx,4-5,,,,0.007004886073433525,3.1288888888888885e-07
instruction,fake_nairobi,cx,5-3,,,,0.012572268228634498,6.044444444444445e-07
instruction,fake_nairobi,cx,5-4,,,,0.007004886073433525,2.7733333333333333e-07
instruction,fake_nairobi,cx,5-6,,,,0.010660006612845774,3.413333333333333e-07
instruction,fake_nairobi,cx,6-5,,,,0.010660006612845774,3.0577777777777775e-07
instruction,fake_nairobi,id,0,,,,0.0003964904233122214,3.5555555555555554e-08
instruction,fake_nairobi,id,1,,,,0.00030662498367558497,3.5555555555555554e-08
instruction,fake_nairobi,id,2,,,,0.00020147699650026172,3.5555555555555554e-08
instruction,fake_nairobi,id,3,,,,0.00040829319361637104,3.5555555555555554e-08
instruction,fake_nairobi,id,4,,,,0.0005315540585991798,3.5555555555555554e-08
instruction,fake_nairobi,id,5,,,,0.0008354803813505588,3.5555555555555554e-08
instruction,fake_nairobi,id,6,,,,0.00026346335152001174,3.5555555555555554e-08
instruction,fake_nairobi,reset,0,,,,,5.596444444444444e-06
instruction,fake_nairobi,reset,1,,,,,5.596444444444444e-06
instruction,fake_nairobi,reset,2,,,,,5.596444444444444e-06
instruction,fake_nairobi,reset,3,,,,,5.596444444444444e-06
instruction,fake_nairobi,reset,4,,,,,5.596444444444444e-06
instruction,fake_nairobi,reset,5,,,,,5.596444444444444e-06
instruction,fake_nairobi,reset,6,,,,,5.596444444444444e-06
instruction,fake_nairobi,rz,0,,,,0.0,0.0
instruction,fake_nairobi,rz,1,,,,0.0,0.0
instruction,fake_nairobi,rz,2,,,,0.0,0.0
instruction,fake_nairobi,rz,3,,,,0.0,0.0
instruction,fake_nairobi,rz,4,,,,0.0,0.0
instruction,fake_nairobi,rz,5,,,,0.0,0.0
instruction,fake_nairobi,rz,6,,,,0.0,0.0
instruction,fake_nairobi,sx,0,,,,0.0003964904233122214,3.5555555555555554e-08
instruction,fake_nairobi,sx,1,,,,0.00030662498367558497,3.5555555555555554e-08
instruction,fake_nairobi,sx,2,,,,0.00020147699650026172,3.5555555555555554e-08
instruction,fake_nairobi,sx,3,,,,0.00040829319361637104,3.5555555555555554e-08
instruction,fake_nairobi,sx,4,,,,0.0005315540585991798,3.5555555555555554e-08
instruction,fake_nairobi,sx,5,,,,0.0008354803813505588,3.5555555555555554e-08
instruction,fake_nairobi,sx,6,,,,0.00026346335152001174,3.5555555555555554e-08
instruction,fake_nairobi,x,0,,,,0.0003964904233122214,3.5555555555555554e-08
instruction,fake_nairobi,x,1,,,,0.00030662498367558497,3.5555555555555554e-08
instruction,fake_nairobi,x,2,,,,0.00020147699650026172,3.5555555555555554e-08
instruction,fake_nairobi,x,3,,,,0.00040829319361637104,3.5555555555555554e-08
instruction,fake_nairobi,x,4,,,,0.0005315540585991798,3.5555555555555554e-08
instruction,fake_nairobi,x,5,,,,0.0008354803813505588,3.5555555555555554e-08
instruction,fake_nairobi,x,6,,,,0.00026346335152001174,3.5555555555555554e-08
