family,severity,severity_index,single_qubit_error,two_qubit_error,readout_error,seed_simulator,simulation_seconds,shots,observed_indices,coverage_fraction,modal_correct_indices,modal_amplitude_accuracy,normalized_modal_mae,correct_basis_shot_fraction,amplitude_bit_error_rate,joint_distribution_tvd,time_distribution_tvd,exact_reconstruction,num_samples,amplitude_bits,time_bits,total_qubits,data_seed,seed_transpiler,optimization_level,transpiled_depth,transpiled_size,transpiled_cx_count
ideal,ideal,0,0.0,0.0,0.0,42,0.012758999946527183,1024,4,1.0,4,1.0,0.0,1.0,0.0,0.021484375,0.021484375,True,4,4,2,6,42,42,1,95,153,54
ideal,ideal,0,0.0,0.0,0.0,52,0.00943330000154674,1024,4,1.0,4,1.0,0.0,1.0,0.0,0.03125,0.03125,True,4,4,2,6,42,42,1,95,153,54
ideal,ideal,0,0.0,0.0,0.0,62,0.008822500007227063,1024,4,1.0,4,1.0,0.0,1.0,0.0,0.03125,0.03125,True,4,4,2,6,42,42,1,95,153,54
ideal,ideal,0,0.0,0.0,0.0,72,0.009351999964565039,1024,4,1.0,4,1.0,0.0,1.0,0.0,0.015625,0.015625,True,4,4,2,6,42,42,1,95,153,54
ideal,ideal,0,0.0,0.0,0.0,82,0.00955329998396337,1024,4,1.0,4,1.0,0.0,1.0,0.0,0.0322265625,0.0322265625,True,4,4,2,6,42,42,1,95,153,54
gate,low,1,0.0005,0.005,0.0,42,0.02227869990747422,1024,4,1.0,4,1.0,0.0,0.865234375,0.054931640625,0.134765625,0.021484375,True,4,4,2,6,42,42,1,95,153,54
gate,low,1,0.0005,0.005,0.0,52,0.021861800109036267,1024,4,1.0,4,1.0,0.0,0.857421875,0.062255859375,0.142578125,0.03125,True,4,4,2,6,42,42,1,95,153,54
gate,low,1,0.0005,0.005,0.0,62,0.020898899994790554,1024,4,1.0,4,1.0,0.0,0.8310546875,0.07666015625,0.1689453125,0.03125,True,4,4,2,6,42,42,1,95,153,54
gate,low,1,0.0005,0.005,0.0,72,0.02200950006954372,1024,4,1.0,4,1.0,0.0,0.841796875,0.070068359375,0.158203125,0.015625,True,4,4,2,6,42,42,1,95,153,54
gate,low,1,0.0005,0.005,0.0,82,0.024170599994249642,1024,4,1.0,4,1.0,0.0,0.8310546875,0.073486328125,0.1689453125,0.0322265625,True,4,4,2,6,42,42,1,95,153,54
readout,low,1,0.0,0.0,0.005,42,0.015442500007338822,1024,4,1.0,4,1.0,0.0,0.9658203125,0.0107421875,0.0400390625,0.01953125,True,4,4,2,6,42,42,1,95,153,54
readout,low,1,0.0,0.0,0.005,52,0.016477700090035796,1024,4,1.0,4,1.0,0.0,0.9716796875,0.00927734375,0.0498046875,0.029296875,True,4,4,2,6,42,42,1,95,153,54
readout,low,1,0.0,0.0,0.005,62,0.0160919000627473,1024,4,1.0,4,1.0,0.0,0.986328125,0.00537109375,0.04296875,0.03515625,True,4,4,2,6,42,42,1,95,153,54
readout,low,1,0.0,0.0,0.005,72,0.015554900048300624,1024,4,1.0,4,1.0,0.0,0.9833984375,0.005126953125,0.0224609375,0.013671875,True,4,4,2,6,42,42,1,95,153,54
readout,low,1,0.0,0.0,0.005,82,0.01580729999113828,1024,4,1.0,4,1.0,0.0,0.962890625,0.015625,0.0478515625,0.0244140625,True,4,4,2,6,42,42,1,95,153,54
combined,low,1,0.0005,0.005,0.005,42,0.02910609997343272,1024,4,1.0,4,1.0,0.0,0.837890625,0.0634765625,0.162109375,0.01953125,True,4,4,2,6,42,42,1,95,153,54
combined,low,1,0.0005,0.005,0.005,52,0.030384000041522086,1024,4,1.0,4,1.0,0.0,0.8310546875,0.07080078125,0.1689453125,0.029296875,True,4,4,2,6,42,42,1,95,153,54
combined,low,1,0.0005,0.005,0.005,62,0.03223520005121827,1024,4,1.0,4,1.0,0.0,0.8193359375,0.08056640625,0.1806640625,0.03515625,True,4,4,2,6,42,42,1,95,153,54
combined,low,1,0.0005,0.005,0.005,72,0.03227140009403229,1024,4,1.0,4,1.0,0.0,0.83203125,0.074951171875,0.16796875,0.013671875,True,4,4,2,6,42,42,1,95,153,54
combined,low,1,0.0005,0.005,0.005,82,0.029409399954602122,1024,4,1.0,4,1.0,0.0,0.80078125,0.08740234375,0.19921875,0.0244140625,True,4,4,2,6,42,42,1,95,153,54
gate,moderate,2,0.001,0.01,0.0,42,0.026807400048710406,1024,4,1.0,4,1.0,0.0,0.744140625,0.11083984375,0.255859375,0.021484375,True,4,4,2,6,42,42,1,95,153,54
gate,moderate,2,0.001,0.01,0.0,52,0.024070699932053685,1024,4,1.0,4,1.0,0.0,0.70703125,0.12451171875,0.29296875,0.03125,True,4,4,2,6,42,42,1,95,153,54
gate,moderate,2,0.001,0.01,0.0,62,0.02344360004644841,1024,4,1.0,4,1.0,0.0,0.7021484375,0.134033203125,0.2978515625,0.03125,True,4,4,2,6,42,42,1,95,153,54
gate,moderate,2,0.001,0.01,0.0,72,0.02308640000410378,1024,4,1.0,4,1.0,0.0,0.7119140625,0.12109375,0.2880859375,0.015625,True,4,4,2,6,42,42,1,95,153,54
gate,moderate,2,0.001,0.01,0.0,82,0.023936100071296096,1024,4,1.0,4,1.0,0.0,0.69140625,0.137939453125,0.30859375,0.0322265625,True,4,4,2,6,42,42,1,95,153,54
readout,moderate,2,0.0,0.0,0.01,42,0.016825899947434664,1024,4,1.0,4,1.0,0.0,0.9306640625,0.023681640625,0.0693359375,0.0166015625,True,4,4,2,6,42,42,1,95,153,54
