time_index,time_bits,amplitude,amplitude_bits,probability
0,0000,8,1000,0.06249999999998786
1,0001,11,1011,0.06249999999998772
2,0010,13,1101,0.062499999999987704
3,0011,15,1111,0.06249999999998748
4,0100,15,1111,0.06249999999998804
5,0101,13,1101,0.06249999999998787
6,0110,11,1011,0.062499999999987954
7,0111,8,1000,0.06249999999998797
8,1000,5,0101,0.06249999999998787
9,1001,3,0011,0.06249999999998805
10,1010,1,0001,0.06249999999998783
11,1011,1,0001,0.06249999999998809
12,1100,3,0011,0.06249999999998826
13,1101,5,0101,0.062499999999988315
14,1110,8,1000,0.06249999999998823
15,1111,0,0000,0.06249999999998784
