profile,num_samples,amplitude_bits,time_bits,total_qubits,state_space_dimension,seed,seed_transpiler,optimization_level,basis_gates,timing_repeats,sample_min,sample_max,sample_mean,sample_hamming_weight,sample_bit_density,build_seconds,transpile_seconds,transpile_seconds_min,transpile_seconds_max,raw_depth,raw_size,raw_operations,transpiled_depth,transpiled_size,transpiled_operations,transpiled_cx_count,transpiled_single_qubit_count,depth_overhead_ratio,size_overhead_ratio,study
sparse,2,4,1,5,32,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,2,1.5,2,0.25,0.0001498999772593379,0.005824599997140467,0.004050099989399314,0.012681699940003455,5,5,"{""cx"": 2, ""h"": 1, ""x"": 2}",6,6,"{""cx"": 2, ""rz"": 2, ""sx"": 1, ""x"": 1}",2,4,1.2,1.2,signal_length
random,2,4,1,5,32,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,2,14,8.0,4,0.5,0.00018229999113827944,0.006419399986043572,0.005937199923209846,0.007342100027017295,7,7,"{""cx"": 4, ""h"": 1, ""x"": 2}",8,8,"{""cx"": 4, ""rz"": 2, ""sx"": 1, ""x"": 1}",4,4,1.1428571428571428,1.1428571428571428,signal_length
random,2,4,1,5,32,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,9,5.0,3,0.375,0.00012199999764561653,0.005125700030475855,0.0044290999649092555,0.006866100011393428,6,6,"{""cx"": 3, ""h"": 1, ""x"": 2}",7,7,"{""cx"": 3, ""rz"": 2, ""sx"": 1, ""x"": 1}",3,4,1.1666666666666667,1.1666666666666667,signal_length
random,2,4,1,5,32,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,8,4.0,1,0.125,0.00016250007320195436,0.007495099911466241,0.003339200047776103,0.00864349992480129,4,4,"{""cx"": 1, ""h"": 1, ""x"": 2}",4,4,"{""cx"": 1, ""rz"": 2, ""sx"": 1}",1,3,1.0,1.0,signal_length
random,2,4,1,5,32,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,3,10,6.5,4,0.5,0.00014979997649788857,0.009848100016824901,0.005551500013098121,0.011174799990840256,7,7,"{""cx"": 4, ""h"": 1, ""x"": 2}",8,8,"{""cx"": 4, ""rz"": 2, ""sx"": 1, ""x"": 1}",4,4,1.1428571428571428,1.1428571428571428,signal_length
random,2,4,1,5,32,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,10,5.5,3,0.375,0.00016389996744692326,0.005065999925136566,0.004573200014419854,0.0085753999883309,6,6,"{""cx"": 3, ""h"": 1, ""x"": 2}",7,7,"{""cx"": 3, ""rz"": 2, ""sx"": 1, ""x"": 1}",3,4,1.1666666666666667,1.1666666666666667,signal_length
dense,2,4,1,5,32,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,15,15,15.0,8,1.0,0.0002354000462219119,0.00626409996766597,0.004032099968753755,0.008828100049868226,11,11,"{""cx"": 8, ""h"": 1, ""x"": 2}",12,12,"{""cx"": 8, ""rz"": 2, ""sx"": 1, ""x"": 1}",8,4,1.0909090909090908,1.0909090909090908,signal_length
sparse,4,4,2,6,64,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,8,3.75,4,0.25,0.0004474000306800008,0.0060489000752568245,0.005305500002577901,0.010123000014573336,10,14,"{""ccx"": 4, ""h"": 2, ""x"": 8}",44,82,"{""cx"": 24, ""rz"": 44, ""sx"": 10, ""x"": 4}",24,58,4.4,5.857142857142857,signal_length
random,4,4,2,6,64,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,3,14,7.0,9,0.5625,0.00042810000013560057,0.003973899991251528,0.0039227999513968825,0.005041699972935021,15,19,"{""ccx"": 9, ""h"": 2, ""x"": 8}",94,147,"{""cx"": 54, ""rz"": 79, ""sx"": 10, ""x"": 4}",54,93,6.266666666666667,7.7368421052631575,signal_length
random,4,4,2,6,64,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,6,15,11.5,12,0.75,0.000674000009894371,0.005524800042621791,0.00530409999191761,0.0056730000069364905,18,22,"{""ccx"": 12, ""h"": 2, ""x"": 8}",124,186,"{""cx"": 72, ""rz"": 100, ""sx"": 10, ""x"": 4}",72,114,6.888888888888889,8.454545454545455,signal_length
random,4,4,2,6,64,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,9,4.5,6,0.375,0.00036609999369829893,0.004458900075405836,0.004344400018453598,0.005609199986793101,12,16,"{""ccx"": 6, ""h"": 2, ""x"": 8}",65,108,"{""cx"": 36, ""rz"": 58, ""sx"": 10, ""x"": 4}",36,72,5.416666666666667,6.75,signal_length
random,4,4,2,6,64,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,10,5.25,6,0.375,0.00034090003464370966,0.004186099977232516,0.003999400069005787,0.004421999910846353,12,16,"{""ccx"": 6, ""h"": 2, ""x"": 8}",65,108,"{""cx"": 36, ""rz"": 58, ""sx"": 10, ""x"": 4}",36,72,5.416666666666667,6.75,signal_length
random,4,4,2,6,64,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,15,7.25,8,0.5,0.0006335999350994825,0.004129100008867681,0.003961200010962784,0.005124500021338463,14,18,"{""ccx"": 8, ""h"": 2, ""x"": 8}",84,132,"{""cx"": 48, ""rz"": 72, ""sx"": 10, ""x"": 2}",48,84,6.0,7.333333333333333,signal_length
