study,profile,num_samples,amplitude_bits,time_bits,total_qubits,state_space_dimension,runs,sample_hamming_weight_mean,sample_hamming_weight_std,sample_hamming_weight_min,sample_hamming_weight_max,sample_bit_density_mean,sample_bit_density_std,sample_bit_density_min,sample_bit_density_max,build_seconds_mean,build_seconds_std,build_seconds_min,build_seconds_max,transpile_seconds_mean,transpile_seconds_std,transpile_seconds_min,transpile_seconds_max,raw_depth_mean,raw_depth_std,raw_depth_min,raw_depth_max,raw_size_mean,raw_size_std,raw_size_min,raw_size_max,transpiled_depth_mean,transpiled_depth_std,transpiled_depth_min,transpiled_depth_max,transpiled_size_mean,transpiled_size_std,transpiled_size_min,transpiled_size_max,transpiled_cx_count_mean,transpiled_cx_count_std,transpiled_cx_count_min,transpiled_cx_count_max,transpiled_single_qubit_count_mean,transpiled_single_qubit_count_std,transpiled_single_qubit_count_min,transpiled_single_qubit_count_max,depth_overhead_ratio_mean,depth_overhead_ratio_std,depth_overhead_ratio_min,depth_overhead_ratio_max,size_overhead_ratio_mean,size_overhead_ratio_std,size_overhead_ratio_min,size_overhead_ratio_max
signal_length,sparse,2,4,1,5,32,1,2.0,0.0,2.0,2.0,0.25,0.0,0.25,0.25,0.0001498999772593379,0.0,0.0001498999772593379,0.0001498999772593379,0.005824599997140467,0.0,0.005824599997140467,0.005824599997140467,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,6.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,2.0,0.0,2.0,2.0,4.0,0.0,4.0,4.0,1.2,0.0,1.2,1.2,1.2,0.0,1.2,1.2
signal_length,random,2,4,1,5,32,5,3.0,1.224744871391589,1.0,4.0,0.375,0.15309310892394862,0.125,0.5,0.00015610000118613244,2.2308857106009854e-05,0.00012199999764561653,0.00018229999113827944,0.006790859973989427,0.001982961983833121,0.005065999925136566,0.009848100016824901,6.0,1.224744871391589,4.0,7.0,6.0,1.224744871391589,4.0,7.0,6.8,1.6431676725154984,4.0,8.0,6.8,1.6431676725154984,4.0,8.0,3.0,1.224744871391589,1.0,4.0,3.8,0.4472135954999579,3.0,4.0,1.1238095238095238,0.07022800573215537,1.0,1.1666666666666667,1.1238095238095238,0.07022800573215537,1.0,1.1666666666666667
signal_length,dense,2,4,1,5,32,1,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0002354000462219119,0.0,0.0002354000462219119,0.0002354000462219119,0.00626409996766597,0.0,0.00626409996766597,0.00626409996766597,11.0,0.0,11.0,11.0,11.0,0.0,11.0,11.0,12.0,0.0,12.0,12.0,12.0,0.0,12.0,12.0,8.0,0.0,8.0,8.0,4.0,0.0,4.0,4.0,1.0909090909090908,0.0,1.0909090909090908,1.0909090909090908,1.0909090909090908,0.0,1.0909090909090908,1.0909090909090908
signal_length,sparse,4,4,2,6,64,1,4.0,0.0,4.0,4.0,0.25,0.0,0.25,0.25,0.0004474000306800008,0.0,0.0004474000306800008,0.0004474000306800008,0.0060489000752568245,0.0,0.0060489000752568245,0.0060489000752568245,10.0,0.0,10.0,10.0,14.0,0.0,14.0,14.0,44.0,0.0,44.0,44.0,82.0,0.0,82.0,82.0,24.0,0.0,24.0,24.0,58.0,0.0,58.0,58.0,4.4,0.0,4.4,4.4,5.857142857142857,0.0,5.857142857142857,5.857142857142857
signal_length,random,4,4,2,6,64,5,8.2,2.4899799195977463,6.0,12.0,0.5125,0.15562374497485915,0.375,0.75,0.0004885399946942925,0.00015482240482102546,0.00034090003464370966,0.000674000009894371,0.004454560019075871,0.0006233902507153663,0.003973899991251528,0.005524800042621791,14.2,2.4899799195977463,12.0,18.0,18.2,2.4899799195977463,16.0,22.0,86.4,24.46017170830982,65.0,124.0,136.2,32.42221460665511,108.0,186.0,49.2,14.939879517586478,36.0,72.0,87.0,17.4928556845359,72.0,114.0,5.997777777777778,0.6208392368598262,5.416666666666667,6.888888888888889,7.404944178628389,0.7202171442546847,6.75,8.454545454545455
signal_length,dense,4,4,2,6,64,1,16.0,0.0,16.0,16.0,1.0,0.0,1.0,1.0,0.0006240000948309898,0.0,0.0006240000948309898,0.0006240000948309898,0.004325600108131766,0.0,0.004325600108131766,0.004325600108131766,22.0,0.0,22.0,22.0,26.0,0.0,26.0,26.0,164.0,0.0,164.0,164.0,238.0,0.0,238.0,238.0,96.0,0.0,96.0,96.0,142.0,0.0,142.0,142.0,7.454545454545454,0.0,7.454545454545454,7.454545454545454,9.153846153846153,0.0,9.153846153846153,9.153846153846153
signal_length,sparse,8,4,3,7,128,1,8.0,0.0,8.0,8.0,0.25,0.0,0.25,0.25,0.0010697999969124794,0.0,0.0010697999969124794,0.0010697999969124794,0.006408900022506714,0.0,0.006408900022506714,0.006408900022506714,21.0,0.0,21.0,21.0,35.0,0.0,35.0,35.0,213.0,0.0,213.0,213.0,275.0,0.0,275.0,275.0,106.0,0.0,106.0,106.0,169.0,0.0,169.0,169.0,10.142857142857142,0.0,10.142857142857142,10.142857142857142,7.857142857142857,0.0,7.857142857142857,7.857142857142857
signal_length,random,8,4,3,7,128,5,16.8,1.9235384061671346,15.0,20.0,0.525,0.060110575192722955,0.46875,0.625,0.001343440031632781,0.0002158212146469676,0.0011234000558033586,0.001690200064331293,0.009733100002631546,0.0007790269468496889,0.008738300064578652,0.010751000023446977,29.8,1.9235384061671346,28.0,33.0,43.8,1.9235384061671346,42.0,47.0,393.0,42.23742416388575,339.0,453.0,481.4,46.75788703523717,421.0,550.0,202.4,23.03909720453473,174.0,236.0,279.0,23.98958107179031,247.0,314.0,13.17125093297507,0.86021894641717,12.107142857142858,13.89655172413793,10.975314286571091,0.6833881459808762,10.023809523809524,11.702127659574469
signal_length,dense,8,4,3,7,128,1,32.0,0.0,32.0,32.0,1.0,0.0,1.0,1.0,0.001976400031708181,0.0,0.001976400031708181,0.001976400031708181,0.00915489997714758,0.0,0.00915489997714758,0.00915489997714758,45.0,0.0,45.0,45.0,59.0,0.0,59.0,59.0,839.0,0.0,839.0,839.0,971.0,0.0,971.0,971.0,442.0,0.0,442.0,442.0,529.0,0.0,529.0,529.0,18.644444444444446,0.0,18.644444444444446,18.644444444444446,16.45762711864407,0.0,16.45762711864407,16.45762711864407
signal_length,sparse,16,4,4,8,256,1,16.0,0.0,16.0,16.0,0.25,0.0,0.25,0.25,0.0014734999276697636,0.0,0.0014734999276697636,0.0014734999276697636,0.008970699971541762,0.0,0.008970699971541762,0.008970699971541762,44.0,0.0,44.0,44.0,84.0,0.0,84.0,84.0,977.0,0.0,977.0,977.0,1180.0,0.0,1180.0,1180.0,392.0,0.0,392.0,392.0,788.0,0.0,788.0,788.0,22.204545454545453,0.0,22.204545454545453,22.204545454545453,14.047619047619047,0.0,14.047619047619047,14.047619047619047
signal_length,random,16,4,4,8,256,5,34.6,5.319774431308154,27.0,41.0,0.540625,0.08312147548918991,0.421875,0.640625,0.0026611799839884043,0.0005697748841479604,0.002154799993149936,0.0036046999739483,0.019408100028522314,0.0018756453498920576,0.017954700044356287,0.022497600060887635,62.6,5.319774431308154,55.0,69.0,102.6,5.319774431308154,95.0,109.0,2029.8,338.6660597107422,1595.0,2474.0,2418.0,392.8199333027793,1911.0,2924.0,834.8,139.74691409830845,656.0,1014.0,1583.2,253.09622675970496,1255.0,1910.0,32.24482859531773,2.7295758980921523,29.0,35.85507246376812,23.459138000258232,2.6428231655942693,20.11578947368421,26.825688073394495
