num_samples,time_bits,shots,shots_per_sample,runs,exact_reconstruction_successes,empirical_exact_reconstruction_rate,exact_rate_wilson_95_low,exact_rate_wilson_95_high,theoretical_full_coverage_probability,exact_rate_absolute_error,coverage_fraction_mean,coverage_fraction_std,theoretical_expected_coverage_fraction,coverage_mean_absolute_error,missing_indices_mean,missing_indices_std,theoretical_expected_missing_indices,time_distribution_tvd_mean,time_distribution_tvd_std,count_coefficient_of_variation_mean,count_coefficient_of_variation_std
4,2,4,1.0,50,7,0.14,0.06950833427016294,0.2618619371058554,0.09375,0.04625000000000001,0.705,0.1799234531115714,0.68359375,0.02140624999999996,1.18,0.7196938124462856,1.265625,0.295,0.1799234531115714,0.7418784525301115,0.39072977466233694
4,2,8,2.0,50,37,0.74,0.6044684273515117,0.8412847250644762,0.6229248046875,0.11707519531249999,0.93,0.12412962283559119,0.8998870849609375,0.03011291503906255,0.28,0.49651849134236475,0.40045166015625,0.2075,0.11464786370910374,0.5015207884305638,0.24427505985952205
4,2,16,4.0,50,48,0.96,0.8653990931249297,0.9889611156723802,0.9600011687725782,1.168772578274968e-06,0.99,0.049487165930539354,0.9899774042423815,2.2595757618537604e-05,0.04,0.19794866372215741,0.040090383030474186,0.15375,0.07906702465475163,0.3678553469332483,0.17033114127001694
4,2,32,8.0,50,50,1.0,0.9286524008666414,1.0,0.9995981916941014,0.00040180830589864325,1.0,0.0,0.9998995475742793,0.00010045242572065405,0.0,0.0,0.00040180970288253314,0.11,0.05620037493520077,0.2558856515706426,0.12560073329545016
4,2,64,16.0,50,50,1.0,0.9286524008666414,1.0,0.9999999596372408,4.03627592460154e-08,1.0,0.0,0.9999999899093102,1.0090689839259426e-08,0.0,0.0,4.036275933263739e-08,0.078125,0.03930093049477457,0.18040769167777446,0.08879293892854566
4,2,128,32.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999997,3.3306690738754696e-16,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,0.0,0.0,4.072880852361017e-16,0.058125,0.028548749369477194,0.13166120001317974,0.06201418563925088
4,2,256,64.0,50,50,1.0,0.9286524008666414,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.147089609382251e-32,0.042109375,0.014557995671189507,0.09759254850181605,0.03347635581486662
4,2,512,128.0,50,50,1.0,0.9286524008666414,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.299588057061558e-64,0.02921875,0.010748237222728475,0.06822177634568884,0.025383462467230875
4,2,1024,256.0,50,50,1.0,0.9286524008666414,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.621614365106595e-128,0.020234375,0.008086802043277011,0.04671162831068143,0.018048813734825732
4,2,2048,512.0,50,50,1.0,0.9286524008666414,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.339829834939911e-256,0.01484375,0.007210061138070619,0.03435141236779089,0.015298343250829462
4,2,4096,1024.0,50,50,1.0,0.9286524008666414,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01017578125,0.0047068604787116304,0.023663931256984863,0.010271054792211484
8,3,4,0.5,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0,0.43,0.07213932098830056,0.413818359375,0.016181640624999993,4.56,0.5771145679064045,4.689453125,0.57,0.07213932098830056,1.2334635260904632,0.2444647001029177
8,3,8,1.0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.00240325927734375,0.00240325927734375,0.655,0.11450871101343855,0.6563910841941833,0.001391084194183323,2.76,0.9160696881075084,2.748871326446533,0.345,0.11450871101343855,0.9018132475642602,0.21837261386755738
8,3,16,2.0,50,19,0.38,0.25862789310193596,0.5184955306900703,0.30679788173756606,0.07320211826243395,0.8925,0.10415476122441204,0.8819329129787512,0.010567087021248756,0.86,0.8332380897952963,0.9445366961699904,0.25125,0.08609476565662623,0.6229108414768474,0.1841474663354378
8,3,32,4.0,50,44,0.88,0.7619518261679701,0.9438239984906773,0.8912775309946364,0.011277530994636353,0.985,0.04103259033241449,0.9860601629623169,0.001060162962316924,0.12,0.32826072265931594,0.11151869630146509,0.179375,0.05237122812875678,0.4416026658681767,0.11973433815232369
8,3,64,8.0,50,50,1.0,0.9286524008666414,1.0,0.9984457300813814,0.0015542699186186226,1.0,0.0,0.9998056809433629,0.00019431905663713778,0.0,0.0,0.0015545524530973004,0.130625,0.038888003107826016,0.31608293796562936,0.09156561340470395
